"SIGLA_UF","n_cattle","n_cattle_sd","pasture_201819_tot","pasture_201819_perc","defo_abs_13_17","defo_perc_wo_refo_13_17","defo_buffer_abs_13_17","defo_buffer_perc_13_17","mod_deg_sum_201819","mod_deg_perc_201819","sev_deg_sum_201819","sev_deg_perc_201819","crop_201819_tot","crop_201819_perc","agricultural_credits","mean_mun_msg4_1317","area","buffer_forest_tot_2013","precipitation_2018_19","mean_temp_18_19","population","nearest_fedSh","IBGE_CODE","outline_id","imagedate","stocking_rate"
"AC",34,0.234997587325686,39.148,98.04,0,0,869.6458,2.355,19.4791,48.78,0,0,0,0,4123.69234,0,39.843,69.047324,0.402445620612094,33.3413600023281,15.256,82.5183808270933,"1200013","AC_1200013_6",2019-07-11 19:00:00,1.129048738122
"AC",8,0.124721912892465,9.1086,100,0,0,659.9741,1.814,4.7371,52.01,0,0,0,0,4123.69234,0,9.088,55.075509,0.402445620612094,33.3413600023281,15.256,77.3420153468489,"1200013","AC_1200013_2",2020-05-16 19:00:00,1.14177809981775
"AC",27,0.0416583291631631,46.2863,63.88,0,-0.151,1725.442,4.479,12.706,17.54,0,0,0,0,4123.69234,0,72.291,63.115589,0.402445620612094,33.3413600023281,15.256,83.2396685338396,"1200013","AC_1200013_6",2019-07-11 19:00:00,0.75832373726135
"AC",9,0.0988775498396262,13.6357,97.14,0,0,706.4181,1.936,11.0978,79.06,2.5257,17.99,0,0,4123.69234,0,14.006,56.867257,0.402445620612094,33.3413600023281,15.256,75.8991761100693,"1200013","AC_1200013_2",2020-05-16 19:00:00,0.858041758032224
"AC",42,0.122913222770765,53.4532,67.79,0,0,1016.2024,2.492,0,0,0,0,0,0,4123.69234,0,78.679,77.385222,0.402445620612094,33.3413600023281,15.256,78.6188082444736,"1200013","AC_1200013_4",2019-07-10 19:00:00,1.02145428150232
"AC",48,0.062951651706424,96.5669,93.69,0,-0.344,639.7808,1.602,53.976,52.37,0,0,0,0,4123.69234,0,102.838,72.373753,0.402445620612094,33.3413600023281,15.256,78.6032516028589,"1200013","AC_1200013_5",2019-07-10 19:00:00,0.646184147984454
"AC",29,0.105087198129332,66.4949,82.25,0.009,-1.077,902.1482,2.213,33.3613,41.27,0,0,0,0,4123.69234,0,80.661,75.80209,0.402445620612094,33.3413600023281,15.256,76.645306258191,"1200013","AC_1200013_4",2019-07-10 19:00:00,0.566960774435333
"AC",23,0.0786476151587624,29.5998,84.03,0,-1.499,776.6679,2.084,0.4971,1.41,0,0,0,0,4123.69234,0,35.145,63.485176,0.402445620612094,33.3413600023281,15.256,77.2612420678128,"1200013","AC_1200013_2",2020-05-16 19:00:00,1.01014196041865
"AC",6,0.0679409808637141,35.3203,86.97,0,0,1334.8974,3.62,12.2258,30.1,0.3665,0.9,0,0,4123.69234,0,40.521,57.943316,0.402445620612094,33.3413600023281,15.256,80.9671488160685,"1200013","AC_1200013_6",2019-07-11 19:00:00,0.220836176363168
"AC",6,0.0699854212223765,22.439,93.96,0,0,594.4581,1.591,3.6432,15.26,0,0,0,0,4123.69234,0,23.827,59.526082,0.402445620612094,33.3413600023281,15.256,75.6637687916257,"1200013","AC_1200013_2",2020-05-16 19:00:00,0.347609073488123
